article_id,newspaper_name,edition,date,page,headline,byline,article
9_1938-09-26_p1_sn84020662_00414185563_1938092601_0060,The Nome nugget.,01,1938-09-26,p1,"Hitler Threatens

 To Invade, ..:ls Czech z z <",,"BERLIN, Germany, Sept. ,26th, tP-Hitler, declared q have de- cided we shall place the. Sude- ten rigion of CzechoSlovakia 'up7 (der German sovereignty"" and if President Benes doesn't want peace we will have to take mat -ters into our own hands, the leader of Germany told cheer ing throng al a sports palace.

 From a memorandum had with Premier Chamberlain of England, Friday, the Hast prom ised"", he asserted, however, it was nothing but what President Benes promised. 4

 In Prague the governments ac- ceptance of September 2lst was the first Anglo o-French plan; fur ther he asserted was the final outlining of the border"" between Germany and Czechoslovakia. 1 would gladly give the citizens there, the using of the preced- -ent of the Saar Region plebicite.

 Hitler ended his address at nine thirty-four pm. or 12:34 p. m. PST. He spoke for an hour and thirteen minutes."
22_1943-07-04_p3_sn92070146_00414189040_1943070401_0093,Imperial Valley press.,01,1943-07-04,p3,"Woman Upbraids Va||eyites


For Attitude on Japs Release",,"ent?
There are worthy ways of keep
ing America American in these dark
days. Do not fall into Hitler,s lines
of race superiority.


Sincerely,


Naomi Wood"""
38_1941-05-13_p7_sn82014085_00393347168_1941051301_0204,The Waterbury Democrat.,01,1941-05-13,p7,,,"NeeAA essaAe@esSey eseo"" -N

 courage.

 ""The Church Bell Wlll

 Ring For the Kremlln Again""

 ""If had to pick out any insti- tuition certain to survive the pres- ent world madness, I should uK- hesitatingly put my hand on the Roman Catholic Church"" Thus writes Thomas Lomax Hunter, non-C -Catholic communist of the Richmond Times Dispatch.

 MT. Hunters statement appeared in his column ""As It Appears To The Cavalier"" and continues in part as follows:

 Against ""uncompromising dog. matic supernaturalism"" the arrows of materialistic rationalism are as i'm potent as if they were fired against the Milky Way. In this I see the strongest proof and prom ise of endurance in the Catholic Church. Behind those bulwarkS it is inviricible. It has outlived many gchisms and 1t will outlive many more. The schisms change and perish but the Catholic Church remains. Wars and revolutions cannot shake 1t. Mans most faI1- tastic atheisins standing atiptoe cannot touch 1t. It is coeval with Christianity, and It's history is the history of the Christian church. TO its sons and daughters its dogmas are eternally and in- defectibly true. While those dog- mas are 'indefectibly true the Church will remain itnpregnable. Tt lived through the overthrow of the Roman Empire; the rise of Northumberland, and turned 1t back from the conquest of Europe at Tours and Lepanto. It endured the terrors of the Tartar invasions. When hear politicians talking of the overthrow Of Christian civili. zation, l look ct the Roman Catholic Church and am com- fortcd. You can persecute 1t but you cannot kill 1t. stalin and Stalinisin are but 6 passing incl dent. The Church bell will ring for the Kremlin again.

 Tt has seen the likes of Hitler and Hitlerism 6 thousand times. It Is the one institution that is not afraid of Hitler. It detied Nero, Commodus, Caracalia, Caligula and other bloody minded despots. If had to pick out any institution certain to survive the present world madness, I should unhesit- atingly put my hand on the Catholic Church. Armored In It's 'uncompromlsing supernaturalism, there 1t stands eternal and in- defectible.""

 Senator Houston, Convert

 Tho elderly Senator Andrew Jackson Houston of Texas who has been appointed by Gov. w. Lee O'Daniel to serve the un- expired term of the latc Sen. Morris Sheppard, is 6 convert to tho Catholic Church. Eight years ago he was received Into the church and conforIned by the Most Rev. Christopher Bylne, of Galveston.

 Tn his conversion Senator Houston follows the example his illustriotis father, Gen. Sam Houston, who was also convert. Texas greatest hero, Sam Houston served as President of the Lone Star Republic before Texas was admitted to the Union.

 A Drexel HeIress

 Fifty years ago the name Drexel was written large on the facade of banks in New York, Philadelphia and Paris. It was a name of para. mount importance in the financial world. Three brothers, Francis, Anthony and Joseph were carrying on the banking firm established by their father. Today the Drexel name still stands high on the social register and still fits through the society pages Of the daily papers.

 But fifty years ago tho name of Katherine Drexel, daughter of the senior member of the firm, was taken from the society column and moved on to write Q beautiful page in the nobler portion of mans history. As 6 young girl Katherine Drexel had visited the South and West and was appalled, ct the conditions in which the Negroes and Indians lived. On 6 visit to Rome she urged Pope Leo XIII to establish an organization to aid these people. The earnestness of her plea led the Holy Father to remark that she had every indica- ton Of a vocation of service to these unfortunates. Two years later she entered a Novitiate In Pittsburg ahd after her profession in 1891, she began with thirteen novices and postulants the Sisters of the Blessed Sacrament. who added to their vows of poverty, chastity and obedience, the fourth VOW of laboring exclusively for the Indians and Negros.

 Tn le4i Mother Katherine and the community now numbering 40 are observing their Golden Jubilee. Fifty years Of service iil- spired and motheTed by ail helresl who gave up all that the world strives for in order that she might follow where Christ led. ""Christ'a pioneers in the North American desert"" Plus XII calls them in his message of felicitation. And 1t was a courageous pioneer who nobly espoused Q despised cause and Q downtrodden people whose friends l Ii.a.. ...na.o. Ae.Iss afahl nAVi1AA"
36_1938-08-27_p1_sn84026749_00205696726_1938082701_0269,The Washington times.,01,1938-08-27,p1,,,"France and again told Reichs.
fuehrer Adolf Hitler that these en-
tail upon Britain ""the necessity of
fighting, if the occasion arises"" !""


Grim Warning Sounded


I'm the particular case of
Czechoslovakia,"" Sir John said,
""the position of Great Britain
has been fully and accurately


Continued on Page 4, Col. II"
6_1938-02-21_p1_sn83045499_00393342341_1938022101_0407,The Daily Alaska empire.,01,1938-02-21,p1,"Iron and Steel of Germany Prepared to Fight

 for Rights

JITTERS ARE GIVEN

 EUROPEAN CAPITALS

No Hint Is Seen as to Next Move of Der Fuhrer-

 Great Apprehension",(By Associated Press),"Twenty-year-fe -fettered Germany is straining at the last bonds of geo. graphic and economic chains in which the great powers had trussed her after the World War

 Adolf Hitler yesterday in Berlin gave Europe's uneasy capitals no hint as to what his next move might be as leader in the rearming of Ger many.

 We are entitled to equal rights with all other powersl"" Der Fuhrer stormed in his momentous Reichstag speech yesterday, in which he de- manded the return of colonies Ger many held before the World War.

 Iron and Steel

 Hitler threatened to use the iron and steel of Germanys armed forces to protect Germany minorities in countries along the Reichs borders.

 However, Germany's man-of-the- hour, failed to give an answer to Europe's burning question, What will Hitler do next?v

 Hurried conferences in a dozen European capitals attempted to read the Ouija board of the past few years developments as diplomats in- terpreted Hitlers actions as men acing in undiminished degree""

 la .I.,. I.

 Anxiety grew in Prague where Hitlers indirect reference to Ger man minorities in Czechoslovakia was resented as a challenge to the sovereignty of that state

 In Germany itself, three million pro Nazi Germans heard Hitler's three hour address in which he warned nations bordering Germany to cease ""inflicting sorrow on their subjects of German blood or suffer the penalties of the armed conflict which they risk.

 Talks to British

 Great Britain was told by Hit Ter that the Royal Lion could reach peace with the Nazi Eagle if Great Britain returned the colonies she had gained from Germany after the World War.

 Hitler's speech hailed Germany's new cooperation with Austria, but gave no pledge to preserve the in- dependence of that former Hapsburg Kingdom, although it had been fer vently hoped and strongly expected that Der Fuhrer would promise such.

 Sympathy for Japan Sympathy was declared with In- surgent Spain and Japan was given all Germany's moral support in her fight against the Bolshevism of China""

 Hitler further announced Ger man recognition of Manchoukuo. Ja. pans great puppet state, and alsc said Germany does not dream of rejoining the League of Nations.

 Finished with his address, Adolf Hitler, his hair disarranged and his face streaming precipitation said: ""Germany's people and German in- dustry are ready to begin a rear mament program such as the world has never seen beforel'"
45_1938-10-11_p4_sn83045462_00280601858_1938101101_0314,Evening star.,01,1938-10-11,p4,"L|NDBERGHS LAND


AT BERLIN FIELD

Flyer Is Silent on Charges
Made by Leading Pilots


of Russia.",BACKGROUND,"BACKGROUND


Leading atrmen OF Souiet Russia


yesterday denounced Col Charles


A. Lindber0h in statement accns-


ing the american flyer OF spreading


lies about SoDiet air strength to
gipe Prime Minister Chamberlain


OF Great Britain an argument for


surrender of Csechoslopdkia. De-


nunciation apparently arose from


unperitfed reports in tDo London


newspapers that Lindbergh had


criticized the Soviet air force.
By n. Associated Press.


BERLIN, Oct. 11.-Col. and Mrs.
Charles A. Lindbergh arrived at Tenn
plehof Airdrome at 1902 pm. (9:02
am. E. S. T) today on q flight from
Paris by way of Rotterdam, where they
stayed overnight. Lindbergh came
here to attend the annual meeting Of
the Lilienthal Society for Aerial Re-
search, opening tomorrow.


Il have nothing to say now"" Col.
Lindbergh replied when asked for q
statement on the letter published by
IL leading Soviet airmen. charging
him with belittling the Russian air
force and thereby indirectly encour-
aging surrender to Adolf Hitler's de-
mands on CZechoSlovakia.


Not Scheduled to Speak.


Col. Lindbergh is not scheduled to
speak to the Lilienthal Society, but to-
night he is to dine at the Neues Palais
at Potsdam, once the residence of
Kaiser Wilhelm II, as guest of the
society.


Field Marshal Hermann Wilhelm
Goering, chief of Germanys air force,
and United States Ambassador Hugh
R. Wilson also will be present.


1t was indicated that Lindbergh
might remain in Germany for two
or three weeks. visiting airplane fac
tories in an effort to learn the causes
OF Germany's progress in aviation.


The Lindberghs were met at the
airport by 1t. Col. Truman Smith,
military attache OF the American EN-
bassy, who will be their host here; the
commander of Templehof Airdrome
and several officers OF the Lilienthal
Society.


1t was learned that Col. Smith has
informed Col. Lndbergh that Ger
many has made great strides in the air
in the past two years and that Col
Lindbergh wants to spend some time
in visiting plants here. He attended
the Lilienthal Society's meeting at
Munich year ago"
2_1940-11-01_p4_sn83045462_00280603053_1940110101_0342,Evening star.,01,1940-11-01,p4,Ne Speech Denouncng Drift Toward Federal Domination,,"must take into account what they
believe in.


They are the secret ballot be-
hind the ballot that the third
term candidate offers to the
country.


For instance, there Is an as
sistant director of the consumers
counsel division in the Depart
ment Of the Interior. He has
beer connected with the Con-
gress of American Revolutionary
Writers. He once said THE
whole capitalist shell game can
sink and be damned""


National Lawyers Guild
Is Communist to Berle.


Not long ago, Adolph Berle,
Assistant Secretary of State re-
signed from the National Law
yers' Guild because, he said, its
management was not-and I
quote-""Prepared to take any
stand that conflicts with the
Communist party line""


Mr.. Berle certainly is not
conservative. Yet to him the
National Lawyers Guild Is a
Communist organization.


What, then, shall we say Of
the hundred odd officeholders in
the present administration who
belong to the National Lawyers
Guild and have not resigned?
These are the men behind the
ballot, these are the invisible bal
lot that the third-term candi-
date represents.


Please understand me. The
men who hold those views may
be honorable men. But, people
of America, they do not believe
in the ability of democracy to
solve the great problem of today.
They have no faith in our way
of life.


They have granted the first
promise of the counter-revolu-
llOl-Ine very IrSt promise tnat
Hitler, for instance, insists upon.
They say that democracy and
free enterprise are decadent.
They say that ours is a dying
way of life.


You cannot expect these men,
with defeat in their hearts, to
fight successfully for our way of
life. AS you look into the fu-
ture you cannot expect to find
our way of life still existing
there, if these men are returned
to Office.


That is the issue. That is
the ultimate issue upon which I
stand.


We face enormous problems
problems Of great difficulty,
which the people of Europe fall"
12_1940-06-05_p1_sn92070146_00414188886_1940060501_0961,Imperial Valley press.,01,1940-06-05,p1,,,"While Allied and Nazi infantry:
came to grips in the first en-
trenched land battle of the war,
fog of official silence shrouded
preliminary results.


German armies were reported
punching through defense lines
along the Rivers Somme and Alsne
but French military sources said
the Nazi offensive toward Paris
had made progress only at a few
unimportant points. The fighting
generally was favorable, the French
reported.


The French high command IN Its
evening communique reported that
the German attacks generally were
checked and that French troops
held strong points even where Ger
man tanks succeeded in infiltrat-
ing the defense lines. The high
command revealed that French air
units had bombed factories at Mu-
mich and Ludwigshafen and the
railroad station at Mannheim.


The German high command
claimed that the great German Of
fensive had broken the Weygand
defense line.


The high command in special
communique asserted that Ger
man troops had attacked the French
on a broad front and crossed the
Somme, breaking the French de-
fense line named for Gen. Maxine
Weygand, French generalissimo.


Adolf Hitler sent more than 60O,-
900 men into the offensive at dawn
and Berlin dispatches later re-
ported that they had forced their
way across the Somme and over
the important canal between the
Aisne and Oise rivers, SO miles
from the French capital


The Germans were said to be con-
tinuing their strategy of concentric
attack, biting off comparatively
small pieces of Allied territory and
cutting it up with mechanized units
and dive bombers. Thus they were
trying to strike down the English
coast in the general direction of
LIE Havre. pounding at the Somme
near Amiens north of Rouen) and
SlaShing at the AiSne-OiSe canal
north of Paris. Except for the re-
ported crossing of the canal, the
break through points were not def
initely indicated.


Military reports SO far have been


Continued on Page 6; Col. ID"
20_1942-11-05_p13_sn83045462_00280603272_1942110501_0293,Evening star.,01,1942-11-05,p13,"McLenore


Don't Underestimate
Thut Man Hitler","BY HENRY McLEMORE,","BY HENRY McLEMORE.
Those who are fighting A. Hitler
hold him too lightly. That's been
true from the. start.


There are many reasons. Tho"
31_1943-01-13_p2_sn88063294_00414187614_1943011301_0992,Detroit evening times.,01,1943-01-13,p2,"The War
Todav

500 u-Boots
Try TO Save
Supply Line","BY JOE ALIEN NORRIS
Uniied Press Foreign Editor","- 0AhN-N ~ h'NNiN -
the supply lines"" impends in
the European and African
theaters Of war. and the Axis
lis preparing to throw more
than 500 submarines into II in
an attempt TO choke off
weapons ana food for Allied
armies.


II will not be ss dramatic
battle as the clash Of tank
against tank and the conflict
of bomber against fighter in
the clouds, but II will have
great bearing on the length
Of the war.


The best opinion is that a
good part of l943 will be
devoted TO the battle Of The
supply lines and that only a
military miracle will enable
the Allies TO knock out the
Axis this year.


PROADLY SPEAKING.
these are the detectives of the
rival forces:


ALLIES-To close a steel
ring around the Axis for
tsess of EzHff Europe and AT the he
same time protect the vital
network Of communication
lines needed 10 bring the
full weight Of American.
British and Russian strength
against Germany.


AXIS-To delay, and if
possible prevent, the clos
ing of the Allied ring and
to win time to build sub
marines and airplanes to be
used in attacks on United
Nations supply lines, par
ticularly the flow of war
materials from America.
This plan, according TO re-
liable authorities, in c u d e s
offensive action by the Axis
whenever and wherever the
results appear promising. The
Germans and Italians were
said 10 be ready to put 500
submarines into that cam
paign.


SOME WELL informe c d
persons believe the Axis
eventually will commit itself
to a war of attrition, hoping
the Allies will exhaust them
selves to the point where they
swill settle for a compromise
peace. This plan would in
clude, In the minds of the
German leaders. the posi-
bility that they might be
able to get in lucky punch
that would suddenly turn the
war in their favor.


Hardly any one familiar
with the situation believes
Adolf Hitler will placidly al
low himself 10 be placed on
the defensive. He is expected
to make sudden offensive
thrusts, possibly Of a limited
nature, and the Allies are
not ignoring the possibility
that he may strike through
Spain in an attempt TO nullify
the Allied occupation of North
Africa.


AT PRESENT Hitler has
won a temporary victory oi
the mud"" in Tunisia. Bad
weather which has hamperec
Allied air and mechanical
activity has given him respite
and a chance 10 strengthen
his Tunisian forces.


He now is believed 10 have
more than $4,000 troops II
Tunisia and it is possible that
they will be reinforced by tn,
part of the Afrika Korps thai
escapes from Libya.


The desperate attempt o,
the Germans ""a keep theh
toehold in Tunisia is a phas,
in the battle Of the suppl,
lines"" Until the German,
and Italians are driven ou: q
Tunisia, the Allies canno
move freely through the Medi
terranean.


Hitler apparently realize
that, for so far he has los
40 ships carrying supplies I,
his Tunisian army and, in tn,
long run, he is taking tn
risk Of losing his entire arm,"
44_1938-10-03_p2_sn84026749_00205696738_1938100301_0022,The Washington times.,01,1938-10-03,p2,,,"ton regarding foreign policy. =.
1t was not for CzechoSlovakia
we would have geen fighting if
we had gone to war last week.


Il urged mobilization for
many days. I thought this was
the kind of language it would
have been easier for Hitler to
understand.


The prime minister believed
in addressing Hitler through the
language Of sweet reasonable
ness. 1 believed he would have
been more successful in the
open language of the mailed
fist"""
